"city","gent","vuln","mean_11","mean_19"
"baca",0,1,42.6896112173359,42.7151051625239
"baca",0,0,37.9154135338346,38.3157894736842
"baca",0,0,59.1142857142857,59.1487394957983
"baca",0,0,59.1453744493392,59.1453744493392
"baca",0,1,66.9153713298791,67.0043177892919
"baca",0,1,69.1219598792828,69.6955441150364
"baca",0,1,64.8250825082508,64.8701870187019
"baca",0,1,72.5751072961373,72.9726394849785
"baca",0,0,59.0316593886463,59.1877729257642
"baca",0,0,30.9733365949119,31.1301369863014
"baca",1,1,60.3138047138047,60.8
"baca",1,1,73.8362068965517,73.8362068965517
"baca",0,1,74.8890799656062,75.1908856405847
"baca",0,1,84.3020576131687,85.1316872427983
"baca",0,0,48.4522821576764,48.5053941908714
"baca",0,0,16.863711001642,17.6674876847291
"baca",0,1,51.0831622176591,51.1745379876797
