"City","Site","gentrifying","vulnerable","mean_19"
"hote","GCGC",FALSE,FALSE,28.7729482413497
"hote","GLWC",FALSE,TRUE,72.627653471027
"hote","GWGC",TRUE,TRUE,59.7903780068728
"hote","HANC",FALSE,FALSE,37.9000572737686
"hote","HBSP",FALSE,FALSE,41.3481375358166
"hote","HPGC",FALSE,FALSE,58.3097623819067
"hote","HUNP",FALSE,FALSE,52.8737446197991
"hote","LGRP",FALSE,FALSE,32.0719610091743
"hote","MGP",FALSE,TRUE,55.5824742268041
"hote","MOCC",FALSE,FALSE,10.9269340974212
"hote","MPNA1",FALSE,FALSE,45.8267468499427
"hote","MPNA2",FALSE,FALSE,27.3283710277698
"hote","ROSP",FALSE,TRUE,47.5601030337722
"hote","SCRNT",FALSE,FALSE,34.516452074392
"hote","SOPC",FALSE,FALSE,32.044921316166
"hote","SPTP",FALSE,FALSE,71.7385452462772
"hote","UHBW",FALSE,FALSE,58.7481353987378
"hote","UHSP",TRUE,TRUE,73.4321305841924
"hote","WCJP",FALSE,TRUE,38.8071182548794
"inin","M01-PRG1",TRUE,TRUE,61.8090466647581
"inin","M02-BCF1",FALSE,FALSE,73.5445686443107
"inin","M02-OBP1",TRUE,TRUE,58.7602055381102
"inin","M02-SBP2",TRUE,TRUE,52.2247706422018
"inin","M03-FCP1",TRUE,TRUE,47.1999426276535
"inin","M03-GWP1",TRUE,TRUE,35.9609979925437
"inin","M03-ISD1",FALSE,TRUE,48.9710767468499
"inin","M04-BAS1",FALSE,FALSE,47.2911899313501
"inin","M04-FRP1",FALSE,FALSE,24.6021227768216
"inin","M04-MAP1",FALSE,FALSE,19.1172928018354
"inin","M05-ISB2",FALSE,FALSE,16.7738333810478
"inin","M05-SGC1",FALSE,FALSE,32.7094188376754
"inin","M06-MCP1",FALSE,FALSE,29.5841442472811
"inin","M06-PGC1",FALSE,FALSE,35.2472071039817
"inin","M07-CAC1",FALSE,FALSE,39.0735757228743
"inin","M07-CCT1",FALSE,FALSE,25.9340785325308
"inin","M07-WFD1",FALSE,FALSE,33.4228456913828
"inin","M08-FTP1",FALSE,FALSE,27.6378223495702
"inin","M08-MMT2",FALSE,FALSE,43.390131956397
"inin","M08-WGP1",FALSE,FALSE,22.0146341463415
"inin","W01-GFP3",TRUE,TRUE,54.886279003151
"inin","W01-HCC1",TRUE,TRUE,53.7423981640849
"inin","W01-WRG1",FALSE,TRUE,54.4759587864911
"inin","W02-CRS2",TRUE,TRUE,54.0214961306965
"inin","W02-EMP1",TRUE,TRUE,59.213608957795
"inin","W02-IZO3",TRUE,TRUE,67.1248210707129
"inin","W03-CHC1",TRUE,TRUE,17.7777777777778
"inin","W03-MEL1",FALSE,TRUE,30.9985681557846
"inin","W03-RGC1",FALSE,TRUE,27.7841169724771
"inin","W04-JSP1",TRUE,TRUE,21.8613889682766
"inin","W04-ROW1",FALSE,FALSE,39.3704551961065
"inin","W04-WPC1",TRUE,TRUE,20.6417096959266
"inin","W05-CPE1",FALSE,FALSE,42.3248498713183
"inin","W05-IHS1",FALSE,TRUE,28.2351088201604
"inin","W06-CNP1",FALSE,FALSE,20.3456683878371
"inin","W06-UHS1",FALSE,FALSE,21.3654342218401
"inin","W07-INA1",FALSE,FALSE,14.2647395535203
"inin","W07-UES2",FALSE,FALSE,13.742480664566
"inin","W07-WAF1",FALSE,FALSE,1.82430495844081
"inin","W08-NST3",FALSE,FALSE,6.26502575844304
"inin","W08-ROS1",FALSE,FALSE,3.48740698340011
"ioio","A01-RES1",FALSE,FALSE,7.05183276059565
"ioio","A01-WMA1",FALSE,FALSE,6.24985689753864
"ioio","A01-WMA2",FALSE,FALSE,1.55020080321285
"ioio","A01-WMA3",FALSE,FALSE,3.25528269560251
"ioio","A02-FUH1",FALSE,FALSE,7.11766389922703
"ioio","A02-MET1",FALSE,FALSE,16.0174835196331
"ioio","A02-RES2",FALSE,FALSE,4.66179421037547
"ioio","A02-WMA4",FALSE,FALSE,1.69501718213058
"ioio","A03-CNA1",FALSE,FALSE,28.0687285223368
"ioio","A03-JOY1",FALSE,FALSE,36.6829896907216
"ioio","A03-YSC1",FALSE,FALSE,22.9931310818546
"ioio","A04-AUB1",FALSE,FALSE,13.0340876539673
"ioio","A04-DOV1",FALSE,FALSE,16.040757749713
"ioio","A04-PEN1",FALSE,TRUE,37.0741907762819
"ioio","A04-WAT1",FALSE,FALSE,17.1246418338109
"ioio","A05-BEN1",TRUE,TRUE,54.5538681948424
"ioio","A05-CRE1",FALSE,TRUE,44.5047345767575
"ioio","A05-SAN1",FALSE,FALSE,45.6305531670966
"ioio","A05-SHI1",FALSE,FALSE,18.9318637274549
"ioio","A06-SHP1",FALSE,TRUE,26.5710601719198
"ioio","A06-SYC1",FALSE,TRUE,25.3652248639358
"ioio","A06-SYC2",FALSE,TRUE,6.32312535775615
"ioio","A06-TTB1",TRUE,TRUE,7.4524899828277
"ioio","A07-CCG2",FALSE,TRUE,47.6232837528604
"ioio","A07-UIO1",FALSE,TRUE,29.863323782235
"ioio","A08-PET1",FALSE,FALSE,1.56131805157593
"ioio","A08-RES3",FALSE,FALSE,5.46634202234317
"ioio","A08-RES4",FALSE,FALSE,6.62969332186873
"ioio","A08-TCP1",FALSE,FALSE,1.30148741418764
"ioio","A09-HRP1",FALSE,TRUE,27.2207233065442
"ioio","A09-KEN1",FALSE,TRUE,10.0143266475645
"ioio","A09-TOK1",FALSE,TRUE,5.44696100917431
"ioio","A09-WCP1",FALSE,FALSE,41.6355300859599
"ioio","A10-ACT1",FALSE,FALSE,20.4469914040115
"ioio","A10-GIL1",FALSE,FALSE,2.48038935012883
"ioio","A10-HHP1",FALSE,FALSE,13.6425300515169
"ioio","A10-HPR1",TRUE,TRUE,6.49785407725322
"jams","ALP",FALSE,TRUE,31.3494700658837
"jams","BAP",TRUE,TRUE,52.7920962199313
"jams","BGP",FALSE,FALSE,21.1440435280641
"jams","BOP",FALSE,FALSE,29.4829561730163
"jams","BRP",FALSE,FALSE,14.6989678899083
"jams","CHS",TRUE,TRUE,44.4741676234214
"jams","CLN",FALSE,FALSE,30.3455377574371
"jams","CON",FALSE,TRUE,34.9662084765178
"jams","CRN",FALSE,FALSE,27.8794835007174
"jams","FOP",TRUE,TRUE,39.4285305889079
"jams","FRP",TRUE,TRUE,43.2507881914589
"jams","GAS",TRUE,TRUE,59.0636833046472
"jams","GRC",FALSE,TRUE,63.3872633390706
"jams","GRN",FALSE,FALSE,3.65682339449541
"jams","LAC1",FALSE,TRUE,10.5092989985694
"jams","LAC2",FALSE,TRUE,20.2960733734594
"jams","LAP",TRUE,TRUE,21.8908673176335
"jams","LEN",TRUE,TRUE,13.4040172166428
"jams","LGN",FALSE,FALSE,19.0582329317269
"jams","LIP",FALSE,FALSE,34.2309673726388
"jams","MAN",FALSE,FALSE,33.012017167382
"jams","MAP",TRUE,TRUE,36.93843069874
"jams","MAS",FALSE,FALSE,7.77892325315006
"jams","MFP",TRUE,TRUE,71.542037302726
"jams","MIP",FALSE,TRUE,61.6403083071653
"jams","MOC",FALSE,FALSE,26.3908309455587
"jams","MON",FALSE,FALSE,9.27653471026965
"jams","NAC",FALSE,FALSE,21.6554886787045
"jams","NON",FALSE,FALSE,50.0154683471785
"jams","NTE",TRUE,TRUE,34.580303464071
"jams","NTW",FALSE,FALSE,4.94419004006869
"jams","OLC",FALSE,FALSE,28.4309059633028
"jams","OLS",FALSE,FALSE,37.5962090752441
"jams","PAG",FALSE,TRUE,19.3600114744693
"jams","PAN",FALSE,FALSE,22.520881006865
"jams","PAP",FALSE,FALSE,47.480504587156
"jams","PEG1",FALSE,FALSE,26.4948364888124
"jams","PEG2",FALSE,TRUE,16.8028653295129
"jams","SOP",FALSE,FALSE,19.0286697247706
"jams","TOP",FALSE,TRUE,22.3519633132703
"jams","TWR",FALSE,FALSE,8.75208034433285
"jams","VAP",FALSE,TRUE,20.7346880366342
"jams","WEP",FALSE,TRUE,22.1771970132108
"jams","WOP",FALSE,FALSE,32.4703523345746
"lrar","LRAR-ALS1",FALSE,FALSE,29.142037302726
"lrar","LRAR-BUR1",FALSE,FALSE,5.74684633027523
"lrar","LRAR-BUR2",FALSE,FALSE,12.4243119266055
"lrar","LRAR-BUR3",FALSE,FALSE,17.9401831711505
"lrar","LRAR-COM1",FALSE,FALSE,22.5848086807539
"lrar","LRAR-CON1",FALSE,TRUE,34.8760045924225
"lrar","LRAR-COO1",FALSE,FALSE,12.1565815887582
"lrar","LRAR-CPL1",TRUE,TRUE,51.1637092157985
"lrar","LRAR-DDT1",FALSE,TRUE,1.33447979363715
"lrar","LRAR-DDT2",FALSE,FALSE,1.92560801144492
"lrar","LRAR-EAS1",TRUE,TRUE,33.7609756097561
"lrar","LRAR-EMR1",FALSE,TRUE,24.5484701172434
"lrar","LRAR-KNO1",FALSE,FALSE,39.4593974175036
"lrar","LRAR-MAU2",FALSE,FALSE,4.89756097560976
"lrar","LRAR-MUR1",FALSE,FALSE,11.5506872852234
"lrar","LRAR-MUR2",FALSE,FALSE,8.54073436603557
"lrar","LRAR-OTT1",FALSE,FALSE,10.7782558806655
"lrar","LRAR-PIN1",FALSE,FALSE,0.356446991404011
"lrar","LRAR-PIN2",FALSE,FALSE,0.349170005724098
"lrar","LRAR-REB1",FALSE,FALSE,8.00945017182131
"lrar","LRAR-RIC1",FALSE,TRUE,31.9581301978778
"lrar","LRAR-RIV1",TRUE,TRUE,66.1176975945017
"lrar","LRAR-ROS1",FALSE,TRUE,19.8146873207114
"lrar","LRAR-SHE1",FALSE,TRUE,60.2169568940908
"lrar","LRAR-TMP1",TRUE,TRUE,72.8260619977038
"lrar","LRAR-TRP1",FALSE,FALSE,4.1657600916118
"lrar","LRAR-TRP2",FALSE,FALSE,1.9658438576349
"lrar","LRAR-TRP3",FALSE,FALSE,3.23160606928142
"lrar","LRAR-WIL1",FALSE,FALSE,0.912270642201835
"mawi","MAWI-M01-AMF1",FALSE,FALSE,19.0496128477201
"mawi","MAWI-M01-BRT1",FALSE,FALSE,18.2256776034237
"mawi","MAWI-M01-BRT2",FALSE,TRUE,39.4666666666667
"mawi","MAWI-M01-BRT3",FALSE,TRUE,38.5032904148784
"mawi","MAWI-M01-CCT2",FALSE,TRUE,47.2083571837436
"mawi","MAWI-M01-CCT3",TRUE,TRUE,46.7456995412844
"mawi","MAWI-M01-CCT4",TRUE,TRUE,46.613662456946
"mawi","MAWI-M01-POR1",FALSE,TRUE,35.9490846681922
"mawi","MAWI-M01-POR2",FALSE,TRUE,25.8702005730659
"mawi","MAWI-M01-RDP1",FALSE,TRUE,50.4539454806313
"mawi","MAWI-M01-STC1",TRUE,TRUE,49.6328751431844
"mawi","MAWI-M01-STC3",FALSE,TRUE,42.7813126970479
"mawi","MAWI-M01-SWC1",FALSE,TRUE,38.9914015477214
"mawi","MAWI-M01-SWC2",FALSE,TRUE,38.3072961373391
"mawi","MAWI-M01-SWC3",FALSE,FALSE,28.820938215103
"mawi","MAWI-M01-SWC4",TRUE,TRUE,25.3955223880597
"mawi","MAWI-M01-SWC5",TRUE,TRUE,21.9545584452701
"mawi","MAWI-M01-SWC6",FALSE,FALSE,30.7264420331239
"mawi","MAWI-M01-SWC7",FALSE,FALSE,50.8078465063001
"mawi","MAWI-M01-SWC8",FALSE,TRUE,61.4033228301346
"mawi","MAWI-M01-SWC9",FALSE,TRUE,45.6583690987124
"mawi","MAWI-M01-UWH1",FALSE,TRUE,13.516175207558
"mela","CalT01",TRUE,TRUE,78.0811660474421
"mela","CalT02",FALSE,FALSE,82.7419077628187
"mela","CalT03",TRUE,TRUE,83.0160458452722
"mela","ED01",FALSE,TRUE,72.1932893604818
"mela","ED03",FALSE,TRUE,63.4921316165951
"mela","ED04",FALSE,FALSE,59.848623853211
"mela","ED05",TRUE,TRUE,66.6948424068768
"mela","ED06",FALSE,FALSE,83.5164803668673
"mela","ED07",FALSE,FALSE,76.3149155453765
"mela","ED08",FALSE,FALSE,67.2249570692616
"mela","ELMOD",FALSE,FALSE,34.1042084168337
