"city","site","variable","value","total","year"
"tawa","G-IP","working class",194.08479081797,913.422316193566,1
"tawa","G-JP","affluent",661.370990858185,1598.503975114,1
"tawa","G-JP","middle class",539.696008709144,1598.503975114,1
"tawa","G-JP","poor",144.714827862091,1598.503975114,1
"tawa","G-JP","working class",252.722147684576,1598.503975114,1
"tawa","G-KP","affluent",593.620947149402,1529.38394288825,1
"tawa","G-KP","middle class",556.824364362012,1529.38394288825,1
"tawa","G-KP","poor",169.198226522747,1529.38394288825,1
"tawa","G-KP","working class",209.740404854085,1529.38394288825,1
"tawa","G-OTP","affluent",308.23191091149,1313.58866371886,1
"tawa","G-OTP","middle class",375.61474483678,1313.58866371886,1
"tawa","G-OTP","poor",256.550114500324,1313.58866371886,1
"tawa","G-OTP","working class",373.191893470267,1313.58866371886,1
"tawa","G-SB","affluent",194.991371081764,414.868443874954,1
"tawa","G-SB","middle class",126.82631483153,414.868443874954,1
"tawa","G-SB","poor",40.7775750017902,414.868443874954,1
"tawa","G-SB","working class",52.2731829598697,414.868443874954,1
"tawa","G-SERA","affluent",228.61822634025,799.695949702734,1
"tawa","G-SERA","middle class",219.037694572411,799.695949702734,1
"tawa","G-SERA","poor",157.255368305943,799.695949702734,1
"tawa","G-SERA","working class",194.78466048413,799.695949702734,1
"tawa","G-SP","affluent",215.311988088549,858.233689710029,1
"tawa","G-SP","middle class",226.139075578686,858.233689710029,1
"tawa","G-SP","poor",164.122092490158,858.233689710029,1
"tawa","G-SP","working class",252.660533552636,858.233689710029,1
"tawa","G-TNC2","affluent",295.977892925156,1168.27141694339,1
"tawa","G-TNC2","middle class",380.020846489188,1168.27141694339,1
