"city","site","variable","value","total","year"
"poor","POOR-E15-PB3","Asian",231.423083296959,2716.63803734674,1
"poor","POOR-E15-PB3","Black",31.5402728320824,2716.63803734674,1
"poor","POOR-E15-PB3","Latino",133.203834166549,2716.63803734674,1
"poor","POOR-E15-PB3","White",2209.95527870396,2716.63803734674,1
"poor","POOR-E17-JBP","Asian",177.467376734761,2776.10853808149,1
"poor","POOR-E17-JBP","Black",32.455980131946,2776.10853808149,1
"poor","POOR-E17-JBP","Latino",122.240172190533,2776.10853808149,1
"poor","POOR-E17-JBP","White",2349.72741142734,2776.10853808149,1
"poor","POOR-E18-SW7","Asian",124.671471540354,3777.35330335908,1
"poor","POOR-E18-SW7","Black",49.815624322484,3777.35330335908,1
"poor","POOR-E18-SW7","Latino",372.719660400315,3777.35330335908,1
"poor","POOR-E18-SW7","White",3077.19678846441,3777.35330335908,1
"poor","POOR-E19-MAP","Asian",48.1224455934123,2404.52293553618,1
"poor","POOR-E19-MAP","Black",25.7898889921424,2404.52293553618,1
"poor","POOR-E19-MAP","Latino",196.414211771409,2404.52293553618,1
"poor","POOR-E19-MAP","White",2042.85412392631,2404.52293553618,1
"poor","POOR-E20-HOR","Asian",62.6927616114927,3181.92978414849,1
"poor","POOR-E20-HOR","Black",30.8237070136535,3181.92978414849,1
"poor","POOR-E20-HOR","Latino",204.08403621299,3181.92978414849,1
"poor","POOR-E20-HOR","White",2772.54475586822,3181.92978414849,1
"poor","POOR-W01-GHP","Asian",161.566409929223,4124.74878274588,1
"poor","POOR-W01-GHP","Black",46.6998348807185,4124.74878274588,1
"poor","POOR-W01-GHP","Latino",132.595033748512,4124.74878274588,1
"poor","POOR-W01-GHP","White",3655.52553569933,4124.74878274588,1
"poor","POOR-W02-MNP","Asian",149.625981045139,3588.59167239396,1
"poor","POOR-W02-MNP","Black",19.7021692129358,3588.59167239396,1
"poor","POOR-W02-MNP","Latino",80.1565073386892,3588.59167239396,1
"poor","POOR-W02-MNP","White",3263.87221273641,3588.59167239396,1
"poor","POOR-W03-CCP","Asian",149.645143769309,3886.37869204285,1
"poor","POOR-W03-CCP","Black",22.9618485429031,3886.37869204285,1
"poor","POOR-W03-CCP","Latino",110.57737090896,3886.37869204285,1
"poor","POOR-W03-CCP","White",3512.81498143105,3886.37869204285,1
"poor","POOR-W04-WHA","Asian",60.2633498950419,1975.79069684314,1
"poor","POOR-W04-WHA","Black",11.8189288509091,1975.79069684314,1
"poor","POOR-W04-WHA","Latino",36.0228750440344,1975.79069684314,1
"poor","POOR-W04-WHA","White",1831.67592102608,1975.79069684314,1
"poor","POOR-W09-TBP","Asian",347.480086003184,4097.46350752133,1
"poor","POOR-W09-TBP","Black",28.0896758872795,4097.46350752133,1
"poor","POOR-W09-TBP","Latino",163.368452288852,4097.46350752133,1
"poor","POOR-W09-TBP","White",3442.73954144692,4097.46350752133,1
"poor","POOR-W10-HRP","Asian",973.080527710043,4841.52373614965,1
"poor","POOR-W10-HRP","Black",52.4248411942881,4841.52373614965,1
"poor","POOR-W10-HRP","Latino",162.969507870928,4841.52373614965,1
"poor","POOR-W10-HRP","White",3504.34667914646,4841.52373614965,1
"poor","POOR-W11-TWP","Asian",1127.00447431632,6699.89190534764,1
"poor","POOR-W11-TWP","Black",87.3796281159747,6699.89190534764,1
"poor","POOR-W11-TWP","Latino",337.822202102382,6699.89190534764,1
"poor","POOR-W11-TWP","White",4948.92699494883,6699.89190534764,1
"poor","POOR-W13-BLP","Asian",257.577444621142,3969.7925210098,1
"poor","POOR-W13-BLP","Black",31.3232885968633,3969.7925210098,1
"poor","POOR-W13-BLP","Latino",175.770139595463,3969.7925210098,1
"poor","POOR-W13-BLP","White",3370.33547745251,3969.7925210098,1
"poor","POOR-W14-PSF","Asian",281.96764534021,3777.05196457898,1
