"city","site","variable","value","year"
"phaz","13_T13","Median value",589.449580987222,1
"phaz","14_T14","Median value",677.619133506991,1
"phaz","15_T15","Median value",869.003229562133,1
"phaz","16_V01","Median value",36993.0130619592,1
"phaz","17_V02","Median value",26121.4583664517,1
"phaz","19_V04","Median value",38316.656594251,1
"phaz","2_01_AF19","Median value",15321.4179331855,1
"phaz","2_02_E12","Median value",410.338637440879,1
"phaz","2_03_EMP","Median value",5913.32953288139,1
"phaz","2_04_I17","Median value",965.152051200316,1
"phaz","2_05_MCN","Median value",150.396168408742,1
"phaz","2_06_PWP","Median value",65621.5308803521,1
"phaz","2_07_SMW","Median value",3815.53565687227,1
"phaz","2_08_TONTO","Median value",447.127860275071,1
"phaz","2_09_U13","Median value",76786.698234444,1
"phaz","2_10_WTM","Median value",410.33863744087,1
"phaz","20_V05","Median value",35812.9531922391,1
"phaz","21_V06","Median value",47984.9353765022,1
"phaz","22_V07","Median value",57937.7962991069,1
"phaz","23_N01","Median value",16563.1801102696,1
"phaz","24_N02","Median value",10750.343177055,1
"phaz","25_N03","Median value",12215.6807499954,1
"phaz","26_V08","Median value",17862.0827050427,1
"phaz","27_V09","Median value",37207.3200722776,1
"phaz","28_V10","Median value",45937.3982964761,1
"phaz","29_N04","Median value",46076.2132586715,1
"phaz","3_01_AC16","Median value",24860.8661443615,1
"phaz","3_02_AVE35","Median value",17123.8461250396,1
"phaz","3_03_DBG","Median value",128457.501202147,1
"phaz","3_04_O17","Median value",28961.8331997738,1
"phaz","3_05_R10","Median value",158448.297196712,1
"phaz","3_06_S9","Median value",15396.6682937286,1
"phaz","3_07_SME","Median value",82084.6150650746,1
"phaz","3_08_W18","Median value",104053.508262625,1
"phaz","3_09_X12","Median value",237047.061192721,1
"phaz","3_10_Y10","Median value",49394.701141474,1
"phaz","30_V11","Median value",54431.0829072184,1
"phaz","31_V12","Median value",48022.9467856583,1
"phaz","32_V13","Median value",33507.5628696617,1
"phaz","33_V14","Median value",33359.6702868501,1
"phaz","34_N05","Median value",26036.9561694119,1
"phaz","35_N06","Median value",13319.5697154165,1
"phaz","36_N07","Median value",21454.5920896806,1
"phaz","37_N08","Median value",14862.4311418465,1
"phaz","38_N09","Median value",4370.14567445967,1
"phaz","39_N10","Median value",4372.87177027473,1
"phaz","4_01_AB20","Median value",200977.853403864,1
"phaz","4_02_AE19","Median value",42338.7762405379,1
"phaz","4_03_R13","Median value",133190.679383669,1
"phaz","4_04_RIO","Median value",52436.9515735519,1
"phaz","4_05_S14","Median value",125238.60781708,1
"phaz","4_06_V16","Median value",139405.5852589,1
"phaz","4_07_ASUW","Median value",146764.229755026,1
"phaz","4_08_Z20","Median value",216117.146203011,1
"phaz","4_09_AA17","Median value",188546.923758438,1
"phaz","4_10_AC19","Median value",33836.2004354634,1
"phaz","40_N11","Median value",4697.26173438146,1
"phaz","41_V15","Median value",6129.96524249264,1
"phaz","42_V16","Median value",3471.23528958961,1
"phaz","43_V17","Median value",4102.10565731667,1
"phaz","5_01_AD18","Median value",47143.2557110658,1
"phaz","5_02_AB18","Median value",131908.090620109,1
"phaz","5_03_R14","Median value",111387.205621925,1
"phaz","5_04_Y19","Median value",168012.315921785,1
"phaz","5_05_T14","Median value",117946.586607457,1
"phaz","5_06_S16","Median value",156211.402607095,1
"phaz","5_07_TYARD","Median value",41539.6581601115,1
"phaz","5_08_X18","Median value",233196.410557214,1
"phaz","5_09_U17","Median value",359485.963762599,1
"phaz","5_10_V17","Median value",43745.8379355636,1
"scut","BC_03","Median value",4663.97121396454,1
"scut","BC_07","Median value",4663.97121396518,1
"scut","BC_08","Median value",4663.97121396458,1
"scut","BC_10","Median value",4663.97121396401,1
"scut","BC_11","Median value",4663.97121396443,1
"scut","BC_12","Median value",4663.97121396451,1
"scut","BC_18.2019","Median value",4663.9712139645,1
"scut","BC_24.2019","Median value",4663.9712139652,1
"scut","BC_25","Median value",6836.33919252338,1
"scut","BC_26.2019","Median value",9028.40754318267,1
"scut","BC_28.2019","Median value",4663.97121396528,1
"scut","BC_33.2019","Median value",4663.9712139644,1
"scut","BC_34","Median value",4663.9712139645,1
"scut","BC_38.2019","Median value",4663.97121396435,1
"scut","BC_40.2019","Median value",4663.9712139646,1
"scut","BC_42.2019","Median value",2819.84260095285,1
"scut","Big Cottonwood Regional Park Wetlands.2019","Median value",181653.534645906,1
"scut","Bonneville Golf Course.2019","Median value",357308.380616566,1
"scut","CC_01","Median value",95093.4314272048,1
"scut","CC_05","Median value",53773.5321743519,1
"scut","CC_06.2019","Median value",53578.7979005894,1
"scut","CC_09","Median value",31338.9602204551,1
"scut","CC_11","Median value",28184.5965945332,1
"scut","CC_13.2019","Median value",2990.36086674884,1
"scut","CC_14.2019","Median value",13965.5979317752,1
"scut","Creekside Park.2019","Median value",193654.753161015,1
"scut","Crestwood Park.2019","Median value",231524.419541179,1
"scut","DC_01","Median value",114893.755195965,1
"scut","DC_03.2019","Median value",88081.7669871952,1
"scut","DD_05.2019","Median value",184423.637288097,1
"scut","DD_06.2019","Median value",167608.676799405,1
"scut","DD_07.2019","Median value",138111.713581646,1
"scut","EM_01","Median value",65608.3196083201,1
"scut","EM_04","Median value",2990.36086674892,1
"scut","EM_05","Median value",2990.36086674916,1
"scut","EM_08","Median value",2990.36086674912,1
"scut","General Holm Park N.2019","Median value",143953.225141629,1
"scut","JR_02","Median value",34340.0546479166,1
"scut","JR_06.2019","Median value",147948.255791777,1
"scut","JR_07","Median value",115405.985510333,1
"scut","JR_08","Median value",89527.8262482216,1
"scut","JR_09","Median value",72907.1492646189,1
"scut","JR_12.2019","Median value",63601.4793803187,1
"scut","JR_13.2019","Median value",92452.3353981122,1
"scut","JRP_02","Median value",94900.169945994,1
"scut","LC_02","Median value",4663.97121396504,1
"scut","LC_07","Median value",4663.97121396449,1
"scut","LC_09.2019","Median value",4663.97121396442,1
"scut","LC_12.2019","Median value",4624.10894520262,1
"scut","LC_14","Median value",4663.97121396466,1
"scut","LC_15","Median value",4663.9712139641,1
"scut","LC_16.2019","Median value",4663.97121396412,1
"scut","LC_18","Median value",4663.971213964,1
"scut","LC_20","Median value",4663.9712139643,1
"scut","LC_22.2019","Median value",4655.23374093658,1
"scut","Little Confluence.2019","Median value",131436.067546327,1
"scut","Lost Lad.2019","Median value",52668.2351361483,1
"scut","MC_02","Median value",8676.08006283318,1
"scut","MC_06","Median value",2990.36086674911,1
"scut","MC_08","Median value",8858.4956616922,1
"scut","MC_09.2019","Median value",14026.7485461087,1
"scut","MC_14","Median value",9350.27675543924,1
"scut","MC_15","Median value",8023.82327933794,1
"scut","MC_18","Median value",9938.12868483702,1
"scut","MC_19","Median value",8888.97597851646,1
"scut","MC_21","Median value",9896.11422853714,1
"scut","MCBC_03.2019","Median value",14026.7485461055,1
"scut","MCBC_04.2019","Median value",14026.7485461068,1
"scut","MCBC_05.2019","Median value",4663.97121396486,1
"scut","MCBC_10.2019","Median value",4755.2443284361,1
"scut","Mount Wire Ridgeline.2019","Median value",2990.36086674899,1
"scut","Oxbow.2019","Median value",90527.4712180253,1
"scut","Parley's Point.2019","Median value",120886.766477356,1
"scut","PC_01","Median value",17018.9162384748,1
"scut","PC_02.2019","Median value",2990.36086674907,1
"scut","PC_03.2019","Median value",2990.36086674899,1
"scut","PC_04","Median value",2990.36086674899,1
"scut","PC_06.2019","Median value",4663.97121396476,1
"scut","PC_08.2019","Median value",2990.36086674895,1
"scut","PC_09.2019","Median value",2990.3608667487,1
"scut","PC_14","Median value",2990.36086674866,1
"scut","PC_15","Median value",2990.36086674915,1
"scut","PC_16.2019","Median value",2990.36086674932,1
"scut","PC_17","Median value",2990.3608667489,1
"scut","PC_18.2019","Median value",2990.36086674919,1
"scut","PC_20.2019","Median value",2990.36086674895,1
"scut","PC_22","Median value",2990.36086674917,1
"scut","PC_26","Median value",2990.36086674926,1
"scut","PC_27","Median value",2990.36086674888,1
"scut","PC_29","Median value",2990.36086674889,1
"scut","PC_31.2019","Median value",3997.55391122335,1
"scut","RB_08","Median value",2990.36086674876,1
"scut","RB_09","Median value",2990.3608667487,1
"scut","RB_10","Median value",2990.36086674921,1
"scut","Spring Gulch","Median value",154905.926861794,1
"scut","Sunnyside Park.2019","Median value",428073.991989806,1
"scut","Upper Hell Canyon","Median value",52668.235136155,1
"scut","WF_02.2019","Median value",185677.075954991,1
"scut","WF_03.2019","Median value",143644.903581761,1
"deco","E01-CHE1","Median value",1354155.32319529,1
"deco","E01-CON1","Median value",993300.777149459,1
"deco","E01-CPE1","Median value",320509.579481195,1
"deco","E01-CPW1","Median value",641967.674334416,1
"deco","E01-SGP1","Median value",377860.354698475,1
"deco","E02-FTP1","Median value",127677.16006647,1
"deco","E02-LIN1","Median value",574901.354696395,1
"deco","E02-MCN1","Median value",244762.958687698,1
"deco","E02-MON1","Median value",257458.763256293,1
"deco","E02-VER1","Median value",226858.436856378,1
"deco","E03-CWP1","Median value",75493.1444952403,1
"deco","E03-DMP1","Median value",251242.021055462,1
"deco","E03-GEN1","Median value",141921.555514267,1
"deco","E03-SAC1","Median value",68422.1943137947,1
"deco","E03-SPG1","Median value",201700.033125563,1
"deco","E04-APM1","Median value",113477.962983771,1
"deco","E04-SCR1","Median value",3996.26041689801,1
"deco","E04-SKE1","Median value",53628.304054608,1
"deco","E04-SKW1","Median value",41286.4770897548,1
"deco","E04-TER1","Median value",12513.3425827517,1
"deco","W01-BAR1","Median value",185690.038296117,1
"deco","W01-GCP1","Median value",191327.304744993,1
"deco","W01-LIP1","Median value",138788.263197531,1
"deco","W01-MAR1","Median value",281830.397563285,1
"deco","W01-SLP1","Median value",305349.723665057,1
"deco","W02-CHP1","Median value",112297.57873177,1
"deco","W02-HOL1","Median value",146020.774618073,1
"deco","W02-MOR1","Median value",146960.326713121,1
"deco","W02-SUN1","Median value",181053.324377142,1
"deco","W02-WBP1","Median value",203073.660537134,1
"deco","W03-CPP1","Median value",271297.456059928,1
"deco","W03-DAN1","Median value",268938.384696083,1
"deco","W03-GRA1","Median value",356801.30842889,1
"deco","W03-MGP1","Median value",107214.581942243,1
"deco","W04-APE1","Median value",14383.0858561711,1
"deco","W04-PVP1","Median value",82615.6303406032,1
"deco","W04-STM1","Median value",65457.6740893153,1
"deco","W04-WES1","Median value",61980.3867474603,1
"deco","W04-WSP1","Median value",9366.91443086988,1
"ioio","A01-RES1","Median value",2289.28316649617,1
"ioio","A01-WMA1","Median value",1797.06966181794,1
"ioio","A01-WMA2","Median value",3076.99383277615,1
"ioio","A01-WMA3","Median value",3076.99383277667,1
"ioio","A02-FUH1","Median value",1756.7386364772,1
"ioio","A02-MET1","Median value",1756.73863647713,1
"ioio","A02-RES2","Median value",2043.1605748415,1
"ioio","A02-WMA4","Median value",1756.73863647721,1
"ioio","A03-CNA1","Median value",1756.73863647715,1
"ioio","A03-JOY1","Median value",1756.73863647751,1
"ioio","A03-YSC1","Median value",10203.0091610377,1
"ioio","A04-AUB1","Median value",6896.82280731006,1
"ioio","A04-DOV1","Median value",2655.26616979357,1
"ioio","A04-PEN1","Median value",75651.1441361097,1
"ioio","A04-WAT1","Median value",27643.738466651,1
"ioio","A05-BEN1","Median value",137881.255654291,1
"ioio","A05-CRE1","Median value",184483.064224916,1
"ioio","A05-SAN1","Median value",144414.960536334,1
"ioio","A05-SHI1","Median value",34885.781890586,1
"ioio","A06-SHP1","Median value",17086.4680007892,1
"ioio","A06-SYC1","Median value",18664.6277580103,1
"ioio","A06-SYC2","Median value",18566.8738133769,1
"ioio","A06-TTB1","Median value",15288.0251920315,1
"ioio","A07-CCG2","Median value",79989.0930949314,1
"ioio","A07-UIO1","Median value",36108.1340705033,1
"ioio","A08-PET1","Median value",1561.400276147,1
"ioio","A08-RES3","Median value",1734.7279704995,1
"ioio","A08-RES4","Median value",1596.57585213594,1
"ioio","A08-TCP1","Median value",1561.40027614667,1
"ioio","A09-HRP1","Median value",15747.3306259723,1
"ioio","A09-KEN1","Median value",15747.3306259697,1
"ioio","A09-TOK1","Median value",15747.3306259687,1
"ioio","A09-WCP1","Median value",67503.3361899635,1
"ioio","A10-ACT1","Median value",25806.9839464405,1
"ioio","A10-GIL1","Median value",8569.37636063552,1
"ioio","A10-HHP1","Median value",25806.9839464384,1
"ioio","A10-HPR1","Median value",23436.7851867812,1
"jams","ALP","Median value",40520.5539996417,1
"slmo","ARH1","Median value",49312.3786826204,1
"jams","BAP","Median value",49661.4476697808,1
"slmo","BBP1","Median value",98585.0794712065,1
"slmo","BDP1","Median value",40793.2503520122,1
