"Site","City","gentrifying","mean_19","mu","sd"
"D02-BMT1","chil",FALSE,0.375500614797727,6.0864,1.29200189387584
"D02-HUP0","chil",TRUE,0.173871316945567,9.6368,1.16084248330866
"D02-JBS1","chil",FALSE,-0.0875003571407515,9.0638,1.27751946020178
"D02-MOP1","chil",TRUE,0.304144813395218,4.7542,1.22379814364105
"D02-RCP1","chil",TRUE,0.305739115087199,8.495,1.12348896100011
"D02-SCP1","chil",TRUE,0.33819014388407,5.6494,1.18573219243067
"D03-AFP1","chil",FALSE,0.281487891641135,6.535,1.15993279495743
"D03-AMP1","chil",TRUE,0.231765608595651,4.4634,1.13265927065675
"D03-CHP1","chil",TRUE,0.249257752561292,4.227,1.05360951903621
"D03-GOM1","chil",TRUE,0.0225422061003645,9.8978,1.24533743743076
"D03-NPV1","chil",FALSE,-0.00451096189856148,11.1784,1.31518796522656
"D03-STB1","chil",TRUE,0.301860491239874,8.5322,1.15066414109119
"D04-DNP1","chil",TRUE,0.121604281534328,6.9826,1.28040037684507
"D04-EDW0","chil",FALSE,-0.0967480056912785,8.7402,1.41488668834934
"D04-RDP1","chil",FALSE,0.137214541952967,7.5956,1.39429173772564
"D04-ROS0","chil",FALSE,0.0962170551725636,10.2586,1.05316089443822
"D05-ADC2","chil",FALSE,-0.0876395171899815,4.4344,0.625599644327741
"D05-BRP1","chil",FALSE,0.0521179431702725,8.706,1.18669526380189
"D05-MIA1","chil",FALSE,0.0876317246400836,11.3218,1.04979291912006
"D05-PRC1","chil",FALSE,-0.0313151373378405,9.108,1.28789274924068
"D06-KCG1","chil",FALSE,-0.102973635509886,11.8852,1.38621978093526
"D07-ASC0","chil",FALSE,-0.182383884432291,10.3306,1.27437374646888
"D07-NOC1","chil",FALSE,-0.195548294434785,10.6602,1.34666204362191
"D08-CCC1","chil",FALSE,-0.117643664678728,11.0106,1.23385255133005
"D08-DAW0","chil",TRUE,-0.200159113790089,11.154,1.4661220627153
"D08-DAW2","chil",TRUE,-0.20036287853452,12.3988,1.46989478471611
"D09-CLG0","chil",FALSE,-0.246657708817449,10.3056,1.26417097959617
"D09-RYW1","chil",FALSE,-0.387029423052126,12.4538,1.40408683918424
"D09-VTC1","chil",FALSE,-0.168350287457974,9.3354,1.30906438723005
"D10-CAN0","chil",FALSE,-0.125964100333643,11.0944,1.43453832993197
"D10-MAC1","chil",FALSE,-0.434438137067117,12.5262,1.57385163271268
"D10-VHC1","chil",FALSE,0.0101081652640885,7.8644,1.22976221401562
"J01-BBS1","chil",TRUE,-0.0131817276613445,8.1416,1.30716914675785
"J01-LMP1","chil",TRUE,0.0205048019306155,8.7126,1.19945361635853
"J01-SEP1","chil",TRUE,0.370275556761528,4.8576,1.26397854742621
"J01-SKP1","chil",FALSE,0.381255718659868,7.119,0.993497059523306
"J01-UIC1","chil",TRUE,0.364141802456132,5.972,1.3010590113097
"R02-DPG1","chil",TRUE,0.185350439768412,8.3388,1.36630447469937
"R02-FRP1","chil",TRUE,0.279141344925507,6.019,1.29852848842336
"R02-HRF1","chil",FALSE,0.241849026636835,7.8442,0.872512816939181
"R03-AUP1","chil",FALSE,0.181879459499407,8.5006,1.14658735930347
"R03-CPG1","chil",FALSE,0.141718480450334,7.7566,1.20633639151685
"R03-EUC1","chil",TRUE,0.174448625375729,7.1708,1.34595307419523
"R03-MAP1","chil",TRUE,0.194133191663939,6.8428,1.26364849602423
"R04-MMW0","chil",TRUE,-0.0418487236193345,10.6328,1.39884077403478
"R04-MMW3","chil",TRUE,-0.0611260378515565,12.4256,1.34462866444571
"R04-SCH1","chil",TRUE,0.174537964691023,9.5192,1.11923272663878
"R05-FMG1","chil",FALSE,0.0106380316333796,9.8888,1.22765466935838
"R05-GOC1","chil",FALSE,0.0333239013484446,8.9276,1.2303905933493
"R05-STP1","chil",TRUE,0.218899577806735,5.7064,0.826520215804445
"R06-OTB1","chil",FALSE,0.0842428357511945,9.686,1.16845070730908
"R06-SLT2","chil",FALSE,-0.0384261238360795,10.4926,1.10606958098648
"R06-YOW1","chil",FALSE,-0.0330242698886565,9.5744,1.37289533771576
"R07-FSP1","chil",FALSE,0.104937989178209,9.286,1.31899656951414
"R07-GOF1","chil",FALSE,-0.0858443202121085,9.764,1.15817627089096
"R07-MMP1","chil",FALSE,-0.0804486353421084,6.18,1.51791330851351
"R07-YHR1","chil",FALSE,-0.00364557626597251,9.2916,1.30204013060287
"R08-DAP1","chil",FALSE,-0.0957279462596905,10.9614,1.2045747133524
"R08-PAP1","chil",FALSE,-0.00590391116769351,8.0376,1.26542739866824
"R08-VLG1","chil",FALSE,-0.0412314793172985,9.3876,1.06470322559468
"R08-WBK1","chil",FALSE,-0.105654953510936,8.9016,1.21433618181807
"R09-BLW1","chil",FALSE,-0.0551824647639745,9.9146,1.21408469240332
"R09-CTG0","chil",FALSE,-0.307890153644047,11.8548,1.43112773200615
"R09-LIM0","chil",FALSE,-0.12713825307402,10.6254,1.3606781871647
"R09-SMI1","chil",FALSE,-0.164403802303168,8.561,1.38919580081233
"R10-FRM1","chil",FALSE,-0.211690669551184,10.5,1.29997614885717
"R10-FRM2","chil",FALSE,-0.335835011987786,11.481,1.44043534071966
"R10-WCP0","chil",FALSE,-0.160047625434713,9.0232,1.22154009022971
"R10-WDW0","chil",TRUE,-0.167510399796691,13.6246,1.3569241278044
"S02-BNS1","chil",TRUE,-0.0353554425845305,11.5736,1.39189457722301
"S02-BRI1","chil",FALSE,0.334842950495888,4.2498,1.03150994302164
"S02-PIP1","chil",TRUE,0.310909885119737,7.3384,1.09623254155176
"S02-PLP1","chil",TRUE,0.379034931971126,4.9862,1.28418822135915
"S02-TNW1","chil",TRUE,-0.0610017994419385,9.808,1.43204264923565
"S03-JKP2","chil",FALSE,-0.15602937055253,9.2638,1.47642999465123
"S03-LCP1","chil",TRUE,0.263065185321396,6.9086,1.25831741327159
"S03-PSP1","chil",FALSE,0.262796734833763,4.6568,1.19570050595456
"S03-VIP1","chil",TRUE,0.259079084675772,5.2828,1.37797094337441
"S03-WAP1","chil",FALSE,0.379292521644969,7.071,0.980893179855002
"S04-HAP1","chil",FALSE,0.250012904558533,4.3508,1.09561828931758
"S04-OTW1","chil",TRUE,-0.0606438213506705,10.9442,1.45158802060237
"S04-SSP1","chil",FALSE,0.145185529160936,7.6714,1.18629823429867
"S05-LNC1","chil",FALSE,0.000113434090730502,6.9336,1.24060423172418
"S05-RES1","chil",FALSE,0.0790055039447244,8.135,1.28386317843148
"S05-SFP0","chil",FALSE,-0.00672564562416345,10.1022,1.27768605546561
"S06-CBW0","chil",FALSE,-0.306778087149351,11.2132,1.40119178833075
"S07-ARG1","chil",FALSE,-0.323631161957854,9.8914,1.36820336064754
"S07-ARG2","chil",FALSE,-0.16168266568147,8.2694,1.31452243565744
"S07-STJ1","chil",FALSE,-0.295936431144567,13.1732,1.39340951554653
"S08-WGL1","chil",FALSE,-0.333336443012401,8.591,1.53537958762503
"S08-WGL3","chil",FALSE,-0.439599796580708,10.015,1.53858651030416
"S09-KTP1","chil",FALSE,-0.32553684951347,12.1568,1.37571518798612
"S09-SMC1","chil",FALSE,-0.0698236780102735,6.6738,1.41992844867615
"S09-VTW0","chil",FALSE,0.000578560284910545,8.6716,1.15361154810481
"S10-ILC1","chil",FALSE,-0.263344320212109,13.7362,1.32384291817965
"S10-LEW1","chil",FALSE,-0.285383670272901,11.1474,1.37537324763646
"S10-LPC1","chil",FALSE,-0.0324228744353195,10.1122,1.27621977236739
"S10-LPP0","chil",TRUE,-0.371003872892194,12.7118,1.51049564031674
"E01-CHE1","deco",FALSE,0.082344434567503,5.4926,1.00087241400581
"E01-CON1","deco",FALSE,-0.00310031083469603,6.2204,1.03500632250123
"E01-CPE1","deco",TRUE,-0.106066630967404,6.4414,1.80000390077593
"E01-CPW1","deco",FALSE,0.026454755763525,4.4814,1.04664852487687
"E01-SGP1","deco",FALSE,0.303261419904565,5.615,1.18399973440631
"E02-FTP1","deco",TRUE,0.101499467141652,6.2182,1.33482025345056
"E02-LIN1","deco",FALSE,0.078833769422879,9.9932,0.945162645519435
"E02-MCN1","deco",TRUE,0.045357020022625,6.035,1.61675532457942
"E02-MON1","deco",TRUE,-0.001369835809992,6.2486,1.36263325729221
"E02-VER1","deco",TRUE,0.071169866612357,2.8502,1.22509596849651
"E03-CWP1","deco",FALSE,0.038819138243348,5.205,1.03614174606739
"E03-DMP1","deco",TRUE,-0.00862118405011003,8.2856,1.53117652160293
"E03-GEN1","deco",TRUE,0.126836724082305,8.2552,1.05900767676721
"E03-SAC1","deco",FALSE,-0.045712365641625,9.906,1.23493684607868
"E03-SPG1","deco",FALSE,0.132874934287297,4.3964,0.985424402098127
"E04-APM1","deco",FALSE,0.051385678245234,6.0194,1.16107418309587
"E04-SCR1","deco",FALSE,-0.159355705907914,7.0702,1.25267146417544
"E04-SKE1","deco",FALSE,-0.124236432943989,6.0416,0.94002455778232
"E04-SKW1","deco",FALSE,-0.061858973344635,9.4176,1.07584465809227
"E04-TER1","deco",FALSE,0.019327238983899,5.4916,1.05761673144392
"W01-BAR1","deco",TRUE,0.151989248481973,6.5506,1.36169397520016
"W01-GCP1","deco",TRUE,0.288159788069467,7.2696,1.04973150245453
"W01-LIP1","deco",FALSE,0.328103838052325,6.0108,1.28942463260814
"W01-MAR1","deco",TRUE,0.064206166540695,6.1706,1.47943684781654
