"loc","mu_beta","var_beta","mu_rich","var_rich","na_count"
"10031",0.324179918764006,0.00323539717301843,13.4142,1.14206677335467,0
"10032",0.170498633108515,0.00337982105804085,10.6638,1.39144784956991,0
"10033",0.362711354996688,0.00739059519262243,11.5264,1.82766857371474,0
"10034",0.196181641743598,0.00444820960766304,11.7504,1.4003799159832,0
"10035",0.402733208646994,0.00731897471350325,12.279,1.72910482096419,0
"10036",0.25521500407999,0.00426899786322511,11.0972,1.69769169833967,0
"10037",0.294444653387324,0.00482721897334244,10.6802,1.38900576115223,0
"10038",0.154565989358124,0.00352406637204411,10.8366,1.47819607921584,0
"10039",0.434434178003054,0.0088722429145022,12.6286,1.33532910582116,0
"1004",0.417145662115662,0.0119083051850571,5.4272,1.84786973394679,0
"10040",0.201728235830357,0.00365430700221303,11.6364,1.38647233446689,0
"10041",0.304888032013887,0.00602227742988755,11.8152,1.49014698939788,0
"10042",0.204722445358727,0.0035775482113035,10.6372,1.35464708941788,0
"10043",0.258242991039561,0.00332080702804511,11.3472,1.15608337667534,0
"10044",0.338759670979798,0.00544853094176568,12.5524,1.2907123824765,0
"10045",0.411369361371343,0.00459687394534797,11.1542,1.01582552510502,0
"10046",0.169756987204312,0.00321150173091399,10.6962,1.42939143828766,0
"10047",0.243507767565768,0.00287790247057345,12.5866,1.30836211242248,0
"10048",0.318918973917977,0.00457362819911918,11.3172,1.13121040208042,0
"10049",0.159082412531447,0.00393830477823546,11.0682,1.60747025405081,0
"1005",0.241190371295371,0.00817317004728184,5.8324,1.13933810762152,0
"10050",0.323285379551724,0.00421584914935865,11.5014,1.2098400080016,0
"10051",0.191416502589138,0.00541296544948416,10.925,1.54568413682737,0
"10052",0.401274135950946,0.0125040452279038,11.2118,1.68927861572314,0
"10053",0.533858058604622,0.01186972796791,10.6388,1.32820020004001,0
"10054",0.465399848953189,0.00832054660202691,11.368,1.1696099219844,0
"10055",0.462145113218395,0.00803558278496442,10.7086,1.43837371474295,0
"10056",0.562584668501433,0.00601202451270313,8.352,1.69083416683337,0
"10057",0.346442823173745,0.00783186842949124,12.0284,1.90917527505501,0
"10058",0.228519639085761,0.00529269071721338,12.1154,1.90566397279456,0
"10059",0.306507023013107,0.006344941228108,8.9182,1.43219519903981,0
"1006",0.369331376401376,0.0141855109982759,5.5522,1.62720060012002,0
"10060",0.387410770873747,0.00670299896673725,12.5488,1.28027461492298,0
"10061",0.263725387394571,0.00547646892082129,10.1444,1.55185901180236,0
"10062",0.342926817432579,0.00764441214718444,9.9482,2.50881852370474,0
"10063",0.318976624963436,0.00725925751533587,11.5214,1.5646549709942,0
"10064",0.378838413910389,0.00745756230257591,10.6184,2.46247393478696,0
"10065",0.26589195870252,0.00641002257292131,9.841,2.06493198639728,0
"10066",0.298428467440712,0.0074102420005363,9.32,1.67913582716543,0
"10067",0.303183930581092,0.00749656938586734,10.8002,1.45977191438288,0
"10068",0.425370244813068,0.00908053765129661,11.0328,1.90930602120424,0
"10069",0.20502322261711,0.00535860595197763,10.382,1.744424884977,0
"1007",0.455226217540629,0.00591324995203897,9.8042,1.44055047009402,0
"10070",0.354063302704086,0.00759376231341299,10.812,1.93744348869774,0
"10071",0.208269562739051,0.00591514821529335,9.3704,1.58272038407682,0
"10072",0.373721295914492,0.00602954907489639,10.9014,1.35834970994199,0
"10073",0.297238502711748,0.00561971868541277,10.7948,1.93988093618724,0
"10074",0.339374482684498,0.00537647928658383,9.1664,1.50941292258452,0
