City,Site,Long,Lat
chil,D05-PRC1,-87.8318759,42.02154012
chil,D06-KCG1,-87.85328609,42.07983052
chil,D07-ASC0,-87.88662949,42.05985363
chil,D07-NOC1,-87.87945486,42.09431792
chil,D08-CCC1,-87.92248236,42.15870422
chil,D08-DAW0,-87.89377889,42.12577912
chil,D08-DAW2,-87.90145123,42.13530185
chil,D09-CLG0,-87.9176414,42.18765769
chil,D09-RYW1,-87.90419482,42.1775919
chil,D09-VTC1,-87.9292671,42.20377534
chil,D10-CAN0,-87.93847762,42.24007189
chil,D10-MAC1,-87.92753011,42.25476444
chil,D10-VHC1,-87.94735573,42.22265299
chil,J01-BBS1,-87.61051042,41.84834938
chil,J01-CLP1,-87.65219937,41.91328435
chil,J01-LMP1,-87.61053666,41.83717173
chil,J01-NOR1,-87.60790591,41.86080165
chil,J01-SEP1,-87.63898576,41.90142019
chil,J01-SKP1,-87.66100717,41.87989095
chil,J01-UIC1,-87.6460853,41.86897406
chil,R02-DPG1,-87.69969807,41.86036917
chil,R02-FRP1,-87.73276152,41.86167611
chil,R02-HRF1,-87.71353018,41.86879099
chil,R03-AUP1,-87.76897765,41.88766256
chil,R03-CPG1,-87.7721358,41.87566237
chil,R03-EUC1,-87.79182537,41.86573343
chil,R03-MAP1,-87.80378089,41.86786605
chil,R04-MMW0,-87.83207106,41.85280337
chil,R04-MMW3,-87.82763197,41.86356253
chil,R04-SCH1,-87.8484205,41.85567851
chil,R05-FMG1,-87.91280438,41.84824061
chil,R05-GOC1,-87.88292622,41.85757554
chil,R05-MTC1,-87.91060758,41.86915824
chil,R05-STP1,-87.86937113,41.88326265
chil,R06-OTB1,-87.97779673,41.85248376
chil,R06-SLT2,-87.95678027,41.87464622
chil,R06-YOW1,-87.93312143,41.85870532
chil,R07-FSP1,-88.02228432,41.85090748
chil,R07-GOF1,-88.04194649,41.8658981
chil,R07-MMP1,-88.00296221,41.87405852
chil,R07-YHR1,-87.98972335,41.86578813
chil,R08-DAP1,-88.07916556,41.87515101
chil,R08-PAP1,-88.05904063,41.8561811
chil,R08-VLG1,-88.07091278,41.8521756
chil,R08-WBK1,-88.06135623,41.84175796
chil,R09-BLW1,-88.14724262,41.86309312
chil,R09-CTG0,-88.16212923,41.85014493
chil,R09-LIM0,-88.12305588,41.87106444
chil,R09-SMI1,-88.11233994,41.85279958
chil,R10-FRM1,-88.2632106,41.81899974
chil,R10-FRM2,-88.25455583,41.83329816
chil,R10-WCP0,-88.2299927,41.88948618
chil,R10-WDW0,-88.19222479,41.86593136
chil,S02-BNS1,-87.59306926,41.81198992
chil,S02-BRI1,-87.69796061,41.829108
chil,S02-MCP1,-87.67616828,41.82610396
chil,S02-PIP1,-87.73000452,41.83325462
chil,S02-PLP1,-87.64874972,41.84407767
chil,S02-TNW1,-87.60065692,41.82389815
chil,S03-JKP2,-87.58010698,41.78574236
chil,S03-LCP1,-87.75085536,41.81401666
chil,S03-PSP1,-87.73172978,41.7880381
chil,S03-VIP1,-87.7478189,41.80241759
chil,S03-WAP1,-87.71888828,41.81169474
chil,S04-HAP1,-87.77935426,41.7803347
chil,S04-OTW1,-87.80373503,41.81511794
chil,S04-SSP1,-87.79732651,41.79931501
chil,S05-LNC1,-87.84473133,41.74274601
chil,S05-RES1,-87.82363466,41.76135893
chil,S05-SFP0,-87.85898612,41.75885485
chil,S06-CBW0,-87.89252291,41.72879771
chil,S07-ARG1,-87.97052731,41.71888815
