"Site","gentrifying","vulnerable","City","geometry"
"R09-LIM0",FALSE,FALSE,"chil",c(-88.12305588, 41.87106444)
"R09-SMI1",FALSE,FALSE,"chil",c(-88.11233994, 41.85279958)
"R10-FRM1",FALSE,FALSE,"chil",c(-88.2632106, 41.81899974)
"R10-FRM2",FALSE,FALSE,"chil",c(-88.25455583, 41.83329816)
"R10-WCP0",FALSE,TRUE,"chil",c(-88.2299927, 41.88948618)
"R10-WDW0",TRUE,TRUE,"chil",c(-88.19222479, 41.86593136)
"S02-BNS1",TRUE,TRUE,"chil",c(-87.59306926, 41.81198992)
"S02-BRI1",FALSE,TRUE,"chil",c(-87.69796061, 41.829108)
"S02-PIP1",TRUE,TRUE,"chil",c(-87.73000452, 41.83325462)
"S02-PLP1",TRUE,TRUE,"chil",c(-87.64874972, 41.84407767)
"S02-TNW1",TRUE,TRUE,"chil",c(-87.60065692, 41.82389815)
"S03-JKP2",FALSE,TRUE,"chil",c(-87.58010698, 41.78574236)
"S03-LCP1",TRUE,TRUE,"chil",c(-87.75085536, 41.81401666)
"S03-PSP1",FALSE,TRUE,"chil",c(-87.73172978, 41.7880381)
"S03-VIP1",TRUE,TRUE,"chil",c(-87.7478189, 41.80241759)
"S03-WAP1",FALSE,TRUE,"chil",c(-87.71888828, 41.81169474)
"S04-HAP1",FALSE,TRUE,"chil",c(-87.77935426, 41.7803347)
"S04-OTW1",TRUE,TRUE,"chil",c(-87.80373503, 41.81511794)
"S04-SSP1",FALSE,TRUE,"chil",c(-87.79732651, 41.79931501)
"S05-LNC1",FALSE,TRUE,"chil",c(-87.84473133, 41.74274601)
"S05-RES1",FALSE,TRUE,"chil",c(-87.82363466, 41.76135893)
"S05-SFP0",FALSE,TRUE,"chil",c(-87.858986115, 41.758854845)
"S06-CBW0",FALSE,FALSE,"chil",c(-87.89252291, 41.72879771)
"S07-ARG1",FALSE,FALSE,"chil",c(-87.97052731, 41.71888815)
"S07-ARG2",FALSE,FALSE,"chil",c(-87.98063145, 41.70899378)
"S07-STJ1",FALSE,FALSE,"chil",c(-87.93211936, 41.69819734)
"S08-WGL1",FALSE,FALSE,"chil",c(-87.99914707, 41.69378812)
"S08-WGL3",FALSE,FALSE,"chil",c(-87.9590198557433, 41.704560101191)
"S09-KTP1",FALSE,FALSE,"chil",c(-88.03380771, 41.6782417)
"S09-SMC1",FALSE,FALSE,"chil",c(-88.01264245, 41.65701595)
"S09-VTW0",FALSE,FALSE,"chil",c(-88.05987667, 41.67081215)
"S10-ILC1",FALSE,TRUE,"chil",c(-88.06930047, 41.63776364)
"S10-LEW1",FALSE,TRUE,"chil",c(-88.07710241, 41.5993927)
"S10-LPC1",FALSE,FALSE,"chil",c(-88.04816511, 41.5915763)
"S10-LPP0",TRUE,TRUE,"chil",c(-88.07212554, 41.58289314)
